Task ID,Core ID,Wait Time (ms),Exec Time (ms),Turnaround Time (ms)
0,2,118,345,463
1,1,129,760,889
2,2,563,644,1207
3,1,989,721,1710
4,2,1318,731,2049
5,1,1815,288,2103
7,1,2207,763,2970
6,2,2152,916,3068
9,2,3179,408,3587
8,1,3084,848,3932
10,2,3687,335,4022
12,2,4133,237,4370
11,1,4032,477,4509
14,1,4610,630,5240
13,2,4470,816,5286
15,1,5341,437,5778
16,2,5400,711,6111
17,1,5878,394,6272
18,2,6211,983,7194
19,1,6373,874,7247
21,1,7359,405,7764
20,2,7295,775,8070
22,1,7864,615,8479
23,2,8171,900,9071
24,1,8580,745,9325
25,2,9173,381,9554
26,1,9438,828,10266
27,2,9656,957,10613
